ligand_id,smiles,pdbqt_path
CHEMBL392695,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL392695.pdbqt
CHEMBL300389,OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL300389.pdbqt
CHEMBL513909,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL513909.pdbqt
CHEMBL379300,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL379300.pdbqt
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL259181.pdbqt
CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL105.pdbqt
CHEMBL608533,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL608533.pdbqt
CHEMBL412142,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL412142.pdbqt
CHEMBL1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1023.pdbqt
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL228043.pdbqt
CHEMBL449158,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL449158.pdbqt
CHEMBL477772,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL477772.pdbqt
CHEMBL483849,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL483849.pdbqt
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL65.pdbqt
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL252164.pdbqt
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL34259.pdbqt
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL191384.pdbqt
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL255863.pdbqt
