ligand_id,smiles,pdbqt_path
CHEMBL585951,Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1,data/demo\ligands_pdbqt_demo\CHEMBL585951.pdbqt
CHEMBL1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,data/demo\ligands_pdbqt_demo\CHEMBL1023.pdbqt
CHEMBL94657,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,data/demo\ligands_pdbqt_demo\CHEMBL94657.pdbqt
CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,data/demo\ligands_pdbqt_demo\CHEMBL202721.pdbqt
CHEMBL96926,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,data/demo\ligands_pdbqt_demo\CHEMBL96926.pdbqt
CHEMBL1289926,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,data/demo\ligands_pdbqt_demo\CHEMBL1289926.pdbqt
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,data/demo\ligands_pdbqt_demo\CHEMBL255863.pdbqt
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,data/demo\ligands_pdbqt_demo\CHEMBL191384.pdbqt
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,data/demo\ligands_pdbqt_demo\CHEMBL34259.pdbqt
CHEMBL259181,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1,data/demo\ligands_pdbqt_demo\CHEMBL259181.pdbqt
CHEMBL477772,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,data/demo\ligands_pdbqt_demo\CHEMBL477772.pdbqt
CHEMBL92309,COC(=O)CNC(=O)C(=O)OC,data/demo\ligands_pdbqt_demo\CHEMBL92309.pdbqt
CHEMBL135561,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1,data/demo\ligands_pdbqt_demo\CHEMBL135561.pdbqt
CHEMBL483849,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N,data/demo\ligands_pdbqt_demo\CHEMBL483849.pdbqt
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,data/demo\ligands_pdbqt_demo\CHEMBL509032.pdbqt
CHEMBL450786,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,data/demo\ligands_pdbqt_demo\CHEMBL450786.pdbqt
CHEMBL412142,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,data/demo\ligands_pdbqt_demo\CHEMBL412142.pdbqt
CHEMBL558642,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,data/demo\ligands_pdbqt_demo\CHEMBL558642.pdbqt
CHEMBL379975,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1[nH]c3ccc(O)cc3c21,data/demo\ligands_pdbqt_demo\CHEMBL379975.pdbqt
CHEMBL1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,data/demo\ligands_pdbqt_demo\CHEMBL1023.pdbqt
CHEMBL189963,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,data/demo\ligands_pdbqt_demo\CHEMBL189963.pdbqt
